"licenseId","name","reference","active"
"BSD-3-Clause-LBNL","Lawrence Berkeley National Labs BSD variant license","https://spdx.org/licenses/BSD-3-Clause-LBNL.html","true"
"BSD-3-Clause-Modification","BSD 3-Clause Modification","https://spdx.org/licenses/BSD-3-Clause-Modification.html","true"
"BSD-3-Clause-No-Military-License","BSD 3-Clause No Military License","https://spdx.org/licenses/BSD-3-Clause-No-Military-License.html","true"
"BSD-3-Clause-No-Nuclear-License","BSD 3-Clause No Nuclear License","https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License.html","true"
"BSD-3-Clause-No-Nuclear-License-2014","BSD 3-Clause No Nuclear License 2014","https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License-2014.html","true"
"BSD-3-Clause-No-Nuclear-Warranty","BSD 3-Clause No Nuclear Warranty","https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-Warranty.html","true"
"BSD-3-Clause-Open-MPI","BSD 3-Clause Open MPI variant","https://spdx.org/licenses/BSD-3-Clause-Open-MPI.html","true"
"BSD-4-Clause","BSD 4-Clause ""Original"" or ""Old"" License","https://spdx.org/licenses/BSD-4-Clause.html","true"
"BSD-4-Clause-Shortened","BSD 4 Clause Shortened","https://spdx.org/licenses/BSD-4-Clause-Shortened.html","true"
"BSD-4-Clause-UC","BSD-4-Clause (University of California-Specific)","https://spdx.org/licenses/BSD-4-Clause-UC.html","true"
"BSD-4.3RENO","BSD 4.3 RENO License","https://spdx.org/licenses/BSD-4.3RENO.html","true"
"BSD-4.3TAHOE","BSD 4.3 TAHOE License","https://spdx.org/licenses/BSD-4.3TAHOE.html","true"
"BSD-Advertising-Acknowledgement","BSD Advertising Acknowledgement License","https://spdx.org/licenses/BSD-Advertising-Acknowledgement.html","true"
"BSD-Attribution-HPND-disclaimer","BSD with Attribution and HPND disclaimer","https://spdx.org/licenses/BSD-Attribution-HPND-disclaimer.html","true"
"BSD-Protection","BSD Protection License","https://spdx.org/licenses/BSD-Protection.html","true"
