type
application/1d-interleaved-parityfec
application/3gpdash-qoe-report+xml
application/3gppHal+json
application/3gppHalForms+json
application/3gpp-ims+xml
application/A2L
application/ace+cbor
application/ace+json
application/activemessage
application/activity+json
application/aif+cbor
application/aif+json
application/alto-cdni+json
application/alto-cdnifilter+json
application/alto-costmap+json
application/alto-costmapfilter+json
application/alto-directory+json
application/alto-endpointprop+json
application/alto-endpointpropparams+json
application/alto-endpointcost+json
application/alto-endpointcostparams+json
application/alto-error+json
application/alto-networkmapfilter+json
application/alto-networkmap+json
application/alto-propmap+json
application/alto-propmapparams+json
application/alto-updatestreamcontrol+json
application/alto-updatestreamparams+json
application/AML
application/andrew-inset
application/applefile
application/at+jwt
application/ATF
application/ATFX
application/atom+xml
application/atomcat+xml
application/atomdeleted+xml
application/atomicmail
application/atomsvc+xml
application/atsc-dwd+xml
application/atsc-dynamic-event-message
application/atsc-held+xml
application/atsc-rdt+json
application/atsc-rsat+xml
application/ATXML
application/auth-policy+xml
application/automationml-aml+xml
application/automationml-amlx+zip
application/bacnet-xdd+zip
application/batch-SMTP
application/beep+xml
application/calendar+json
application/calendar+xml
application/call-completion
application/CALS-1840
application/captive+json
application/cbor
application/cbor-seq
application/cccex
application/ccmp+xml
application/ccxml+xml
application/cda+xml
application/CDFX+XML
application/cdmi-capability
application/cdmi-container
application/cdmi-domain
application/cdmi-object
application/cdmi-queue
application/cdni
application/CEA
application/cea-2018+xml
application/cellml+xml
application/cfw
application/city+json
application/clr
application/clue_info+xml
application/clue+xml
application/cms
application/cnrp+xml
application/coap-group+json
application/coap-payload
application/commonground
application/concise-problem-details+cbor
application/conference-info+xml
application/cpl+xml
application/cose
application/cose-key
application/cose-key-set
application/cose-x509
application/csrattrs
application/csta+xml
application/CSTAdata+xml
application/csvm+json
application/cwl
application/cwl+json
application/cwt
application/cybercash
application/dash+xml
application/dash-patch+xml
application/dashdelta
application/davmount+xml
application/dca-rft
application/DCD
application/dec-dx
application/dialog-info+xml
application/dicom
application/dicom+json
application/dicom+xml
application/DII
application/DIT
application/dns
application/dns+json
application/dns-message
application/dots+cbor
application/dpop+jwt
application/dskpp+xml
application/dssc+der
application/dssc+xml
application/dvcs
application/ecmascript
application/EDI-consent
application/EDIFACT
application/EDI-X12
application/efi
application/elm+json
application/elm+xml
application/EmergencyCallData.cap+xml
application/EmergencyCallData.Comment+xml
application/EmergencyCallData.Control+xml
application/EmergencyCallData.DeviceInfo+xml
application/EmergencyCallData.eCall.MSD
application/EmergencyCallData.LegacyESN+json
application/EmergencyCallData.ProviderInfo+xml
application/EmergencyCallData.ServiceInfo+xml
application/EmergencyCallData.SubscriberInfo+xml
application/EmergencyCallData.VEDS+xml
application/emma+xml
application/emotionml+xml
application/encaprtp
application/epp+xml
application/epub+zip
application/eshop
application/example
application/exi
application/expect-ct-report+json
application/express
application/fastinfoset
application/fastsoap
application/fdf
application/fdt+xml
application/fhir+json
application/fhir+xml
application/fits
application/flexfec
application/font-sfnt
application/font-tdpfr
application/font-woff
application/framework-attributes+xml
application/geo+json
application/geo+json-seq
application/geopackage+sqlite3
application/geoxacml+xml
application/gltf-buffer
application/gml+xml
application/gzip
application/H224
application/held+xml
application/hl7v2+xml
application/http
application/hyperstudio
application/ibe-key-request+xml
application/ibe-pkg-reply+xml
application/ibe-pp-data
application/iges
application/im-iscomposing+xml
application/index
application/index.cmd
application/index.obj
application/index.response
application/index.vnd
application/inkml+xml
application/IOTP
application/ipfix
application/ipp
application/ISUP
application/its+xml
application/java-archive
application/javascript
application/jf2feed+json
application/jose
application/jose+json
application/jrd+json
application/jscalendar+json
application/json
application/json-patch+json
application/json-seq
application/jwk+json
application/jwk-set+json
application/jwt
application/kpml-request+xml
